product_id,revenue,active_weeks,description,active_share,cumulative_share,abc
21928,33574.6,76,JUMBO BAG SCANDINAVIAN PAISLEY,0.95,0.19902319414664524,A
22457,33318.05,61,NATURAL SLATE HEART CHALKBOARD ,0.7625,0.2018041529643845,A
84029E,33076.42,69,RED WOOLLY HOTTIE WHITE HEART.,0.8625,0.2045649436426579,A
22910,32795.11,26,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.325,0.2073022542095497,A
22111,32513.86,75,SCOTTIE DOG HOT WATER BOTTLE,0.9375,0.2100160896730819,A
21181,31997.820000000003,61,PLEASE ONE PERSON  METAL SIGN,0.7625,0.21268685280830243,A
48187,31588.56,71,DOOR MAT NEW ENGLAND,0.8875,0.21532345622511964,A
71477,31549.41,62,COLOUR GLASS. STAR T-LIGHT HOLDER,0.775,0.21795679190754919,A
82494L,31547.29,72,WOODEN FRAME ANTIQUE WHITE ,0.9,0.2205899506398663,A
22139,31384.300000000003,75,RETRO SPOT TEA SET CERAMIC 11 PC ,0.9375,0.22320950508028445,A
21523,30362.8,76,FANCY FONT HOME SWEET HOME DOORMAT,0.95,0.22574379794530067,A
21175,30103.38,73,GIN + TONIC DIET METAL SIGN,0.9125,0.2282564377923132,A
22083,29547.11,78,PAPER CHAIN KIT RETRO SPOT,0.975,0.23072264743222945,A
15056BL,29494.84,78,EDWARDIAN PARASOL BLACK,0.975,0.2331844942502698,A
20727,29414.99,78,LUNCH BAG  BLACK SKULL.,0.975,0.2356396762256319,A
21755,29295.890000000003,78,LOVE BUILDING BLOCK WORD,0.975,0.23808491727722464,A
22355,28948.899999999998,78,"CHARLOTTE BAG , SUKI DESIGN",0.975,0.24050119610263165,A
22188,28432.96,73,BLACK HEART CARD HOLDER,0.9125,0.2428744109464304,A
82486,28188.89,78,WOOD S/3 CABINET ANT WHITE FINISH,0.975,0.2452272539911999,A
82482,27756.54,69,WOODEN PICTURE FRAME WHITE FINISH,0.8625,0.24754401006374716,A
85066,26797.3,73,CREAM SWEETHEART MINI CHEST,0.9125,0.2497807012184397,A
22383,25690.9,73,LUNCHBAG SUKI  DESIGN ,0.9125,0.2519250444465295,A
20728,25096.98,78,LUNCH BAG CARS BLUE,0.975,0.25401981493368664,A
22084,24564.98,78,PAPER CHAIN KIT EMPIRE,0.975,0.2560701809586668,A
22379,24435.88,72,RECYCLING BAG RETROSPOT ,0.9,0.2581097713895359,A
15036,24105.04,76,ASSORTED COLOURS SILK FAN,0.95,0.26012174758682105,A
21524,24096.43,78,SPOTTY  HOME SWEET HOME DOORMAT,0.975,0.2621330051329421,A
22501,23913.68,56,PICNIC BASKET WICKER LARGE,0.7,0.26412900907856907,A
20713,23651.4,66,JUMBO BAG OWLS,0.825,0.26610312129047453,A
21485,23570.45,75,RED SPOT HEART HOT WATER BOTTLE,0.9375,0.26807047684596425,A
21915,23336.14,65,RED  HARMONICA IN BOX ,0.8125,0.2700182752406782,A
84029G,23087.3,76,KNITTED UNION FLAG HOT WATER BOTTLE,0.95,0.27194530369860986,A
20726,22653.46,78,LUNCH BAG WOODLAND,0.975,0.27383612081843844,A
21527,22597.620000000003,65,RETRO SPOT TRADITIONAL TEAPOT ,0.8125,0.2757222771390791,A
37503,22350.93,33,TEA TIME CAKE STAND IN GIFT BOX,0.4125,0.277587842977061,A
22087,22342.61,70,PAPER BUNTING WHITE LACE,0.875,0.2794527143693187,A
21479,21940.59,32,WHITE SKULL HOT WATER BOTTLE ,0.4,0.28128403034450034,A
47566B,21779.48,66,TEA TIME PARTY BUNTING,0.825,0.28310189894580734,A
22138,21723.420000000002,73,BAKING SET 9 PIECE RETROSPOT ,0.9125,0.28491508838517887,A
72741,21684.02,78,GRAND CHOCOLATECANDLE,0.975,0.2867249892234042,A
85152,21652.63,78,HAND OVER THE CHOCOLATE   SIGN ,0.975,0.28853227003142706,A
47590B,21640.33,75,PINK HAPPY BIRTHDAY BUNTING,0.9375,0.29033852419492967,A
22622,21548.61,58,BOX OF VINTAGE ALPHABET BLOCKS,0.725,0.29213712276205844,A
21108,21295.95,74,FAIRY CAKE FLANNEL ASSORTED COLOUR,0.925,0.2939146325483345,A
82483,21247.14,69,WOOD 2 DRAWER CABINET WHITE FINISH,0.8625,0.2956880683086729,A
20711,21214.22,78,JUMBO BAG TOYS ,0.975,0.29745875633424645,A
21166,21132.22,74,COOK WITH WINE METAL SIGN ,0.925,0.29922260006301826,A
22384,21031.74,72,LUNCHBAG PINK RETROSPOT,0.9,0.300978057024197,A
21955,20981.22,78,UNION JACK GUNS & ROSES  DOORMAT,0.975,0.30272929723080955,A
48188,20796.61,78,DOOR MAT WELCOME PUPPIES,0.975,0.3044651285882445,A
71459,20661.399999999998,77,HANGING JAM JAR T-LIGHT HOLDER,0.9625,0.30618967436798966,A
48111,20603.8,76,DOOR MAT 3 SMILEY CATS,0.95,0.3079094124465667,A
22659,20209.72,51,LUNCHBOX I LOVE LONDON,0.6375,0.3095962578363192,A
22752,19963.27,44,SET 7 BABUSHKA NESTING BOXES,0.55,0.31126253277550114,A
84978,19875.510000000002,77,HANGING HEART JAR T-LIGHT HOLDER,0.9625,0.3129214826477645,A
22385,19768.22,72,JUMBO BAG SPACEBOY DESIGN,0.9,0.3145714773419321,A
21731,19715.78,77,RED TOADSTOOL LED NIGHT LIGHT,0.9625,0.3162170950248279,A
22499,19503.58,71,WOODEN UNION JACK BUNTING,0.8875,0.31784500100307345,A
84755,19285.48,78,COLOUR GLASS T-LIGHT HOLDER HANGING,0.975,0.31945470282116706,A
21258,19225.64,58,VICTORIAN SEWING BOX LARGE,0.725,0.32105940997193616,A
22699,19136.8,44,ROSES REGENCY TEACUP AND SAUCER ,0.55,0.32265670191138973,A
21231,19120.24,70,SWEETHEART CERAMIC TRINKET BOX,0.875,0.32425261163675756,A
21314,19055.79,78,SMALL GLASS HEART TRINKET POT,0.975,0.3258431419117733,A
48184,18971.9,68,DOOR MAT ENGLISH ROSE ,0.85,0.32742667013729276,A
21217,18945.35,77,RED SPOTTY ROUND CAKE TINS,0.9625,0.32900798231305506,A
22382,18893.91,73,LUNCHBAG SPACEBOY DESIGN ,0.9125,0.33058500094457977,A
21977,18706.86,78,PACK OF 60 PINK PAISLEY CAKE CASES,0.975,0.3321464070673635,A
21622,18527.43,75,VINTAGE UNION JACK CUSHION COVER,0.9375,0.33369283670020655,A
21930,18357.41,78,JUMBO STORAGE BAG SKULLS,0.975,0.3352250752679005,A
20712,18256.34,71,JUMBO BAG WOODLAND ANIMALS,0.8875,0.33674887782245116,A
22507,18217.68,66,MEMO BOARD RETROSPOT  DESIGN,0.825,0.33826945354146093,A
84997B,18211.71,77,RED 3 PIECE MINI DOTS CUTLERY SET,0.9625,0.33978953096227665,A
37449,18197.46,64,CERAMIC CAKE STAND + HANGING CAKES,0.8,0.3413084189778555,A
22607,18174.99,47,WOODEN ROUNDERS GARDEN SET ,0.5875,0.3428254314891767,A
20679,18119.32,76,EDWARDIAN PARASOL RED,0.95,0.3443377973907057,A
22171,18041.86,76,3 HOOK PHOTO SHELF ANTIQUE WHITE,0.95,0.34584369793576814,A
22867,18037.75,23,HAND WARMER BIRD DESIGN,0.2875,0.34734925543132017,A
20724,18016.19,78,RED SPOTTY CHARLOTTE BAG,0.975,0.3488530133776155,A
20972,17961.23,78,PINK CREAM FELT CRAFT TRINKET BOX ,0.975,0.35035218397571305,A
84991,17782.100000000002,78,60 TEATIME FAIRY CAKE CASES,0.975,0.3518364031239802,A
22077,17773.489999999998,69,6 RIBBONS RUSTIC CHARM,0.8625,0.3533199036210831,A
85014B,17734.34,78,RED/WHITE DOTS RUFFLED UMBRELLA,0.975,0.3548001363837984,A
22697,17710.16,44,GREEN REGENCY TEACUP AND SAUCER,0.55,0.35627835091362753,A
22149,17688.09,78,FELTCRAFT 6 FLOWER FRIENDS,0.975,0.3577547233260126,A
21080,17536.7,78,SET/20 RED SPOTTY PAPER NAPKINS ,0.975,0.35921845966409505,A
22866,17366.800000000003,20,HAND WARMER SCOTTY DOG DESIGN,0.25,0.3606680149530725,A
48173C,17350.43,71,DOOR MAT BLACK FLOCK ,0.8875,0.36211620388670057,A
47590A,17137.850000000002,62,BLUE HAPPY BIRTHDAY BUNTING,0.775,0.36354664939820536,A
84467,17048.41,16,ENGLISH ROSE DESIGN QUILTED THROW,0.2,0.36496962961817425,A
82583,17020.510000000002,73,HOT BATHS METAL SIGN,0.9125,0.36639028110788985,A
84077,17017.34,77,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.9625,0.36781066800710716,A
84970S,17004.39,78,HANGING HEART ZINC T-LIGHT HOLDER,0.975,0.369229974008232,A
82600,16976.91,78,NO SINGING METAL SIGN,0.975,0.3706469863352579,A
22456,16896.57,64,NATURAL SLATE CHALKBOARD LARGE ,0.8,0.37205729292075884,A
84997D,16852.73,72,PINK 3 PIECE MINI DOTS CUTLERY SET,0.9,0.3734639403114819,A
22585,16680.760000000002,66,PACK OF 6 BIRDY GIFT TAGS,0.825,0.37485623387633915,A
84836,16625.16,78,ZINC METAL HEART DECORATION,0.975,0.3762438866740967,A
22865,16600.620000000003,30,HAND WARMER OWL DESIGN,0.375,0.37762949119083583,A
84406B,16564.06,76,CREAM CUPID HEARTS COAT HANGER,0.95,0.3790120441528057,A
22605,16486.51,60,WOODEN CROQUET GARDEN SET,0.75,0.38038812424627594,A
22837,16480.32,27,HOT WATER BOTTLE BABUSHKA ,0.3375,0.38176368767880475,A
22624,16382.01,54,IVORY KITCHEN SCALES,0.675,0.3831310454672045,A
48116,16254.91,67,DOOR MAT MULTICOLOUR STRIPE,0.8375,0.3844877945955616,A
35004C,16110.28,62,SET OF 3 COLOURED  FLYING DUCKS,0.775,0.3858324718867671,A
85150,16041.05,73,LADIES & GENTLEMEN METAL SIGN,0.9125,0.3871713707551972,A
21481,16018.230000000001,70,FAWN BLUE HOT WATER BOTTLE,0.875,0.38850836490590757,A
22727,15935.51,38,ALARM CLOCK BAKELIKE RED ,0.475,0.3898384546635516,A
22158,15925.42,49,3 HEARTS HANGING DECORATION RUSTIC,0.6125,0.3911677022388209,A
22960,15621.68,29,JAM MAKING SET WITH JARS,0.3625,0.3924715975371322,A
22061,15574.72,74,LARGE CAKE STAND  HANGING STRAWBERY,0.925,0.39377157322351897,A
22666,15467.910000000002,49,RECIPE BOX PANTRY YELLOW DESIGN,0.6125,0.3950626337959864,A
71053,15396.38,78,WHITE METAL LANTERN,0.975,0.3963477239714998,A
22734,15343.06,23,SET OF 6 RIBBONS VINTAGE CHRISTMAS,0.2875,0.3976283636847514,A
22570,15227.12,66,FELTCRAFT CUSHION RABBIT,0.825,0.39889932623006163,A
21213,15211.17,78,PACK OF 72 SKULL CAKE CASES,0.975,0.4001689574761769,A
22569,15200.28,66,FELTCRAFT CUSHION BUTTERFLY,0.825,0.40143767976629013,A
22381,15004.53,73,TOY TIDY PINK RETROSPOT  ,0.9125,0.4026900633844651,A
20971,14974.61,77,PINK BLUE FELT CRAFT TRINKET BOX,0.9625,0.4039399496689778,A
22835,14906.19,39,HOT WATER BOTTLE I AM SO POORLY,0.4875,0.4051841251390127,A
84949,14903.619999999999,76,SILVER HANGING T-LIGHT HOLDER,0.95,0.40642808609876985,A
22294,14595.83,78,HEART FILIGREE DOVE  SMALL,0.975,0.4076463567400806,A
21791,14581.91,78,VINTAGE HEADS AND TAILS CARD GAME ,0.975,0.40886346552027575,A
20719,14400.46,77,WOODLAND CHARLOTTE BAG,0.9625,0.4100654292071212,A
84997C,14075.2,75,BLUE 3 PIECE MINI DOTS CUTLERY SET,0.9375,0.4112402444064334,A
22632,14063.990000000002,15,HAND WARMER RED POLKA DOT,0.1875,0.41241412394029264,A
22693,14027.45,43,GROW A FLYTRAP OR SUNFLOWER IN TIN,0.5375,0.4135849535887233,A
21790,13828.14,78,VINTAGE SNAP CARDS,0.975,0.4147391474225741,A
79323W,13783.640000000001,21, WHITE CHERRY LIGHTS,0.2625,0.4158896269734045,A
21936,13698.47,76,RED/WHITE SPOT PICNIC BAG,0.95,0.4170329976369348,A
22467,13596.16,52,GUMBALL COAT RACK,0.65,0.41816782878819947,A
22113,13552.460000000001,39,GREY HEART HOT WATER BOTTLE,0.4875,0.41929901243007106,A
22297,13444.08,78,HEART IVORY TRELLIS SMALL,0.975,0.4204211499147795,A
72760B,13393.98,64,VINTAGE CREAM 3 BASKET CAKE STAND,0.8,0.4215391057010763,A
20748,13299.03,55,KENSINGTON COFFEE SET,0.6875,0.42264913629247886,A
85014A,13295.300000000001,76,BLACK/BLUE DOTS RUFFLED UMBRELLA,0.95,0.42375885555184395,A
21340,13219.55,52,CLASSIC METAL BIRDCAGE PLANT HOLDER,0.65,0.4248622521833708,A
21174,13187.09,78,POTTERING IN THE SHED METAL SIGN,0.975,0.42596293947496866,A
84945,13158.02,66,MULTI COLOUR SILVER T-LIGHT HOLDER,0.825,0.4270612003798832,A
47556B,13151.03,51,TEA TIME TEA TOWELS ,0.6375,0.428158877850229,A
22625,13127.17,53,RED KITCHEN SCALES,0.6625,0.4292545637971395,A
22726,13026.26,34,ALARM CLOCK BAKELIKE GREEN,0.425,0.43034182708563223,A
22424,13013.07,57,ENAMEL BREAD BIN CREAM,0.7125,0.4314279894439443,A
20749,12990.52,74,ASSORTED COLOUR MINI CASES,0.925,0.4325122696206358,A
84947,12979.37,77,ANTIQUE SILVER TEA GLASS ENGRAVED,0.9625,0.4335956191398964,A
22427,12928.2,51,ENAMEL FLOWER JUG CREAM,0.6375,0.4346746976510187,A
22492,12875.750000000002,58,MINI PAINT SET VINTAGE  BOY+ GIRL,0.725,0.43574939831619885,A
22698,12808.77,38,PINK REGENCY TEACUP AND SAUCER,0.475,0.4368185083594305,A
22900,12790.76,38, SET 2 TEA TOWELS I LOVE LONDON ,0.475,0.43788611516137677,A
21484,12739.69,70,CHICK GREY HOT WATER BOTTLE,0.875,0.43894945930188817,A
21535,12731.8,77,RETRO SPOT SMALL MILK JUG,0.9625,0.44001214488749996,A
84050,12729.109999999999,75,PINK HEART SHAPE EGG FRYING PAN,0.9375,0.4410746059467898,A
22328,12721.070000000002,74,ROUND SNACK BOXES SET OF 4 FRUITS ,0.925,0.442136395931125,A
22041,12656.27,74,"RECORD FRAME 7"" SINGLE SIZE ",0.925,0.44319277725164613,A
21533,12612.87,78,RETRO SPOT LARGE MILK JUG,0.975,0.4442455361028844,A
22444,12506.56,54,GROW YOUR OWN PLANT IN A CAN ,0.675,0.4452894215737203,A
22169,12447.86,73,FAMILY ALBUM WHITE PICTURE FRAME,0.9125,0.44632840752965064,A
22629,12394.31,50,SPACEBOY LUNCH BOX ,0.625,0.44736292382590126,A
21136,12381.1,76,PAINTED METAL PEARS ASSORTED,0.95,0.44839633752263053,A
22720,12373.1,25,SET OF 3 CAKE TINS PANTRY DESIGN ,0.3125,0.44942908348308647,A
22366,12350.02,74,DOORMAT AIRMAIL ,0.925,0.4504599030243938,A
47591D,12220.82,74,PINK FAIRY CAKE CHILD'S APRON,0.925,0.4514799386248868,A
35400,12204.1,28,WOODEN BOX ADVENT CALENDAR ,0.35,0.45249857865656845,A
15044A,12182.53,61,PINK PAPER PARASOL ,0.7625,0.4535154183043232,A
22487,12106.58,65,WHITE WOOD GARDEN PLANT LADDER,0.8125,0.45452591863083286,A
48129,12029.42,76,DOOR MAT TOPIARY,0.95,0.4555299786409862,A
22568,11913.56,66,FELTCRAFT CUSHION OWL,0.825,0.45652436816056086,A
17003,11768.65,72,BROCADE RING PURSE ,0.9,0.4575066624722144,A
84970L,11756.72,77,SINGLE HEART ZINC T-LIGHT HOLDER,0.9625,0.4584879610221503,A
20750,11708.0,77, RED/WHITE DOT MINI CASES,0.9625,0.4594651930581815,A
22776,11674.93,35,SWEETHEART CAKESTAND 3 TIER,0.4375,0.46043966483939286,A
22654,11663.62,45,DELUXE SEWING KIT ,0.5625,0.46141319260844776,A
22652,11659.72,48,TRAVEL SEWING KIT,0.6,0.4623863948560694,A
23298,11583.0,7,SPOTTY BUNTING,0.0875,0.4633531935128298,A
22356,11577.199999999999,78,"CHARLOTTE BAG , PINK/WHITE SPOTS",0.975,0.464319508060792,A
22147,11510.349999999999,78,FELTCRAFT BUTTERFLY HEARTS,0.975,0.46528024283752,A
20723,11478.01,78,STRAWBERRY CHARLOTTE BAG,0.975,0.46623827829036313,A
21155,11424.140000000001,67,RED SPOTTY PEG BAG,0.8375,0.4671918173740756,A
22296,11334.599999999999,67,HEART IVORY TRELLIS LARGE,0.8375,0.46813788281954877,A
84992,11325.9,78,72 SWEETHEART FAIRY CAKE CASES,0.975,0.4690832221018247,A
22088,11324.66,77,PAPER BUNTING COLOURED LACE,0.9625,0.47002845788497827,A
21908,11318.01,78,CHOCOLATE THIS WAY METAL SIGN,0.975,0.47097313861235457,A
21035,11278.460000000001,78,SET/2 RED SPOTTY TEA TOWELS ,0.975,0.4719145182185296,A
22633,11245.300000000001,18,HAND WARMER UNION JACK,0.225,0.4728531300578516,A
22655,11240.0,23,VINTAGE RED KITCHEN CABINET,0.2875,0.4737912995218926,A
85042,11227.99,45,ANTIQUE LILY FAIRY LIGHTS,0.5625,0.4747284665468532,A
22170,11205.880000000001,71,PICTURE FRAME WOOD TRIPLE PORTRAIT,0.8875,0.4756637881156883,A
22606,11187.43,60,WOODEN SKITTLES GARDEN SET,0.75,0.4765975697177431,A
20718,11126.96,78,RED SPOTTY SHOPPER BAG,0.975,0.47752630406824176,A
21156,11094.779999999999,77,RED SPOTTY CHILDS APRON,0.9625,0.47845235244958095,A
22558,11088.32,44,CLOTHES PEGS RETROSPOT PACK 24 ,0.55,0.4793778616338794,A
22969,11060.109999999999,30,HOMEMADE JAM SCENTED CANDLES,0.375,0.480301016213144,A
21844,10995.890000000001,78,RETRO SPOT MUG,0.975,0.48121881053947435,A
21259,10978.28,78,VICTORIAN SEWING BOX SMALL ,0.975,0.48213513501133304,A
22173,10708.15,57,METAL 4 HOOK HANGER FRENCH CHATEAU,0.7125,0.4830289125332521,A
85048,10691.29,36,15CM CHRISTMAS GLASS BALL 20 LIGHTS,0.45,0.48392128280097507,A
22722,10687.210000000001,26,SET OF 6 SPICE TINS PANTRY DESIGN,0.325,0.48481331252319865,A
22690,10671.0,45,DOORMAT HOME SWEET HOME BLUE ,0.5625,0.4857039892447984,A
22834,10640.84,30,HAND WARMER BABUSHKA DESIGN,0.375,0.48659214860064764,A
21165,10626.43,74,BEWARE OF THE CAT METAL SIGN ,0.925,0.4874791051965345,A
21704,10522.42,72,BAG 250g SWIRLY MARBLES,0.9,0.48835738038619764,A
21430,10516.44,54,SET/3 RED GINGHAM ROSE STORAGE BOX,0.675,0.4892351564429965,A
21210,10504.13,70,SET OF 72 RETRO SPOT PAPER  DOILIES,0.875,0.4901119050206047,A
21216,10475.83,72,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",0.9,0.490986291481146,A
22561,10458.689999999999,64,WOODEN SCHOOL COLOURING SET,0.8,0.4918592473167217,A
22961,10447.34,30,JAM MAKING SET PRINTED,0.375,0.49273125580145954,A
22295,10392.279999999999,68,HEART FILIGREE DOVE LARGE,0.85,0.49359866859129614,A
22617,10375.32,65,BAKING SET SPACEBOY DESIGN,0.8125,0.4944646657802333,A
79323P,10365.02,20,PINK CHERRY LIGHTS,0.25,0.49532980325871845,A
21218,10351.55,78,RED SPOTTY BISCUIT TIN,0.975,0.49619381643625343,A
22207,10341.99,75,FRYING PAN UNION FLAG,0.9375,0.4970570316689418,A
22804,10335.51,38,CANDLEHOLDER PINK HANGING HEART,0.475,0.49791970603524865,A
22365,10334.04,73,DOORMAT RESPECTABLE HOUSE,0.9125,0.4987822577050154,A
22150,10320.13,77, 3 STRIPEY MICE FELTCRAFT,0.9625,0.4996436483483368,A
22630,10317.17,50,DOLLY GIRL LUNCH BOX,0.625,0.5005047919292371,A
21164,10257.08,77,HOME SWEET HOME METAL SIGN ,0.9625,0.5013609199760543,A
21735,10244.56,59,TWO DOOR CURIO CABINET,0.7375,0.5022160030156037,A
22236,10222.27,70,CAKE STAND 3 TIER MAGIC GARDEN,0.875,0.5030692255749615,A
22485,10186.27,66,SET OF 2 WOODEN MARKET CRATES,0.825,0.5039194433210892,A
22326,10132.380000000001,70,ROUND SNACK BOXES SET OF4 WOODLAND ,0.875,0.5047651630287456,A
21868,10127.14,78,POTTING SHED TEA MUG,0.975,0.5056104453691431,A
22464,10113.539999999999,67,HANGING METAL HEART LANTERN,0.8375,0.506454592557876,A
22198,10072.039999999999,59,"POPCORN HOLDER , LARGE",0.7375,0.5072952758646908,A
21906,10062.720000000001,68,PHARMACIE FIRST AID TIN,0.85,0.5081351812587472,A
37370,10052.710000000001,75,RETRO COFFEE MUGS ASSORTED,0.9375,0.5089742511477916,A
21624,9996.26,73,VINTAGE UNION JACK DOORSTOP,0.9125,0.5098086093227572,A
22952,9995.73,26,72 CAKE CASES VINTAGE CHRISTMAS,0.325,0.5106429232601948,A
84997A,9994.56,67,GREEN 3 PIECE MINI DOTS CUTLERY SET,0.8375,0.5114771395412023,A
75049L,9992.769999999999,57,LARGE CIRCULAR MIRROR MOBILE,0.7125,0.5123112064162187,A
22557,9990.76,64,PLASTERS IN TIN VINTAGE PAISLEY ,0.8,0.5131451055224964,A
23284,9981.73,8,DOORMAT KEEP CALM AND COME IN,0.1,0.5139782509214557,A
22560,9899.210000000001,64,TRADITIONAL MODELLING CLAY,0.8,0.5148045086207553,A
22413,9796.11,72,METAL SIGN TAKE IT OR LEAVE IT ,0.9,0.5156221608688325,A
82582,9673.640000000001,71,AREA PATROLLED METAL SIGN,0.8875,0.516429590909235,A
21770,9495.85,37,OPEN CLOSED METAL SIGN,0.4625,0.5172221813456329,A
22728,9472.23,38,ALARM CLOCK BAKELIKE PINK,0.475,0.518012800290684,A
22551,9434.999999999998,64,PLASTERS IN TIN SPACEBOY,0.8,0.5188003117580529,A
72351B,9421.58,75,SET/6 PINK  BUTTERFLY T-LIGHTS,0.9375,0.5195867030978232,A
21098,9402.07,35,CHRISTMAS TOILET ROLL,0.4375,0.520371465995757,A
22179,9380.66,75,SET 10 LIGHTS NIGHT OWL,0.9375,0.5211544418644892,A
21877,9372.76,76,HOME SWEET HOME MUG,0.95,0.5219367583436515,A
21539,9361.57,77,RETRO SPOTS BUTTER DISH,0.9625,0.5227181408267015,A
21488,9349.53,41,RED WHITE SCARF  HOT WATER BOTTLE,0.5125,0.5234985183666602,A
22941,9346.67,14,CHRISTMAS LIGHTS 10 REINDEER,0.175,0.524278657190901,A
84375,9339.960000000001,70,SET OF 20 KIDS COOKIE CUTTERS,0.875,0.5250582359513427,A
22646,9289.35,57,CERAMIC STRAWBERRY CAKE MONEY BANK,0.7125,0.5258335904451851,A
22556,9278.97,64,PLASTERS IN TIN CIRCUS PARADE ,0.8,0.5266080785512128,A
21094,9278.32,78,SET/6 RED SPOTTY PAPER PLATES,0.975,0.5273825124036684,A
21982,9263.11,68,PACK OF 12 SUKI TISSUES ,0.85,0.5281556767225343,A
84378,9252.78,78,SET OF 3 HEART COOKIE CUTTERS,0.975,0.5289279788269372,A
21937,9248.72,71,STRAWBERRY   PICNIC BAG,0.8875,0.5296999420551813,A
22109,9212.09,77,FULL ENGLISH BREAKFAST PLATE,0.9625,0.530468847885964,A
21390,9209.87,77,FILIGRIS HEART WITH BUTTERFLY,0.9625,0.5312375684199309,A
21889,9160.63,78,WOODEN BOX OF DOMINOES,0.975,0.5320021790371352,A
21975,9156.17,78,PACK OF 60 DINOSAUR CAKE CASES,0.975,0.5327664173913672,A
22367,9145.55,75,CHILDS APRON SPACEBOY DESIGN,0.9375,0.5335297693256963,A
21749,9138.970000000001,66,LARGE RED SPOT WINDMILL,0.825,0.5342925720469407,A
21673,9043.42,78,WHITE SPOT BLUE CERAMIC DRAWER KNOB,0.975,0.5350473994930703,A
84880,9038.730000000001,68,WHITE WIRE EGG HOLDER,0.85,0.5358018354788098,A
